Index,Rule,Decision,Support,Length
1,"early_uptake_in=2, block_of_affere=2, changes_in_node=4, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,5
2,"early_uptake_in=2, block_of_affere=2, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=2",2,0.012345679012345678,5
3,"lym_nodes_enlar=4, defect_in_node=3, early_uptake_in=2, block_of_affere=2",3,0.012345679012345678,4
4,"lym_nodes_enlar=3, defect_in_node=4, early_uptake_in=2, block_of_affere=1",3,0.012345679012345678,4
5,"early_uptake_in=1, block_of_affere=1, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=4",2,0.012345679012345678,5
6,"early_uptake_in=2, block_of_affere=1, changes_in_stru=6, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=3",2,0.012345679012345678,6
7,"early_uptake_in=2, block_of_affere=2, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=2",2,0.012345679012345678,5
8,"early_uptake_in=2, block_of_affere=2, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=2",2,0.012345679012345678,5
9,"early_uptake_in=2, block_of_affere=2, changes_in_node=2, lym_nodes_enlar=3, defect_in_node=2",3,0.012345679012345678,5
10,"early_uptake_in=2, block_of_affere=1, changes_in_stru=5, changes_in_node=3, lym_nodes_enlar=2, no_of_nodes_in=2, defect_in_node=3",3,0.012345679012345678,7
11,"early_uptake_in=2, block_of_affere=2, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=4",2,0.012345679012345678,5
12,"lym_nodes_enlar=3, early_uptake_in=1, block_of_affere=2",2,0.012345679012345678,3
13,"lym_nodes_enlar=4, early_uptake_in=2, block_of_affere=1",3,0.012345679012345678,3
14,"early_uptake_in=2, block_of_affere=2, changes_in_node=2, lym_nodes_enlar=1, defect_in_node=2",4,0.012345679012345678,5
15,"lym_nodes_enlar=2, defect_in_node=3, early_uptake_in=2, block_of_affere=2",2,0.012345679012345678,4
16,"lym_nodes_enlar=2, defect_in_node=2, early_uptake_in=1, block_of_affere=2",2,0.012345679012345678,4
17,"early_uptake_in=2, block_of_affere=1, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=2",2,0.012345679012345678,5
